prompt_index,status,image_url,prompt
11,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt879qvztk7cynasp1z9jj3.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] throwing their head back laughing hard at something off-camera, eyes crinkled shut, mouth wide open showing teeth, standing in a bright sunlit living room with a white sofa and potted plants behind them"
12,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt87tta32q10a6nfyk65hm1.png,"a close-up of [[dfc640f84d554263bc7849d46e7344a6]] with a subtle knowing smile, one eyebrow slightly raised, shot in a dimly lit bar with warm amber lights and rows of bottles blurred in the background, a half-empty cocktail glass on the wooden counter beside them"
13,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt88htben6zgkjxffy4msm5.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] staring intensely into the camera with a serious focused expression, jaw set, sitting at a large conference table in a modern glass-walled meeting room, papers and a laptop scattered on the table"
14,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt88g7vk3av06r0dxb3jtgx.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] with wide eyes and mouth open in genuine surprise, both hands raised to the sides of their face, standing in a doorway with a group of friends holding a birthday cake with lit candles visible behind them"
15,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt87zv03nf9wk5jp7h6y3mn.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] sitting alone on a park bench looking down at the ground with a melancholic expression, autumn leaves scattered on the wet pavement, a gray overcast sky, an empty playground with swings visible in the background"
16,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8889vma276w9xe81myvk3.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] giving an exaggerated wink to the camera with a playful grin, one hand making a finger gun gesture, standing at a backyard barbecue with a smoking grill, string lights, and plastic chairs behind them"
17,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt89ac2p8mer7m7dp2m24qj.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] meditating with eyes closed, face completely relaxed and peaceful, sitting cross-legged on a yoga mat in a bright minimalist room with large windows, a small potted succulent and a water bottle on the floor beside them"
18,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt89v431eqjym1kvfrz1rzc.png,"a candid photo of [[dfc640f84d554263bc7849d46e7344a6]] mid-sentence talking to someone just out of frame, mouth slightly open, one hand gesturing, seated at a small round cafe table with two espresso cups and a croissant on a white plate"
19,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt89v1k0tw67811shjp67ag.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] squinting hard with one eye closed against bright direct sunlight, holding a hand up to shield their face, standing on a concrete pier with fishing boats and calm blue water behind them"
20,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt89re1fywmsh58gpbqy7j5.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] with a wide mischievous grin leaning forward conspiratorially, elbows on a rustic wooden table in a crowded pub, other patrons and pint glasses blurred in the warm background"
21,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8aj44kk5x1xm38c9ft6nm.png,"a side profile photo of [[dfc640f84d554263bc7849d46e7344a6]] looking to the left, sharp jawline and ear visible, shot against a large floor-to-ceiling window with a cityscape of buildings and cranes visible through the glass, late afternoon light outlining their silhouette"
22,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8aj1s8yhrqnkjyvak99y7.png,"a three-quarter angle photo of [[dfc640f84d554263bc7849d46e7344a6]] turning slightly to the right, one shoulder closer to camera, standing in front of a rusty corrugated metal wall covered in old peeling posters, wearing a dark denim jacket"
23,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8bfknvjbp1e8zm59v4nct.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] looking back over their right shoulder toward the camera while walking down a narrow cobblestone alley, old brick buildings with fire escapes on both sides, a bicycle leaning against a wall, warm late-day light"
24,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8bp4thtkzn6rgb73mdv93.png,"a dramatic low-angle photo of [[dfc640f84d554263bc7849d46e7344a6]] shot from below looking up, standing on a concrete overpass with the sky and steel bridge cables behind them, wearing a long dark coat, the perspective making them appear tall and imposing"
25,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8cbkhsbqj7wdmx2rrkjdq.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] taken from slightly above, looking up at the camera, lying on their back on a checkered picnic blanket in a grassy park, a wicker basket and some scattered fruit visible, trees framing the edges of the shot"
26,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8cs950qrzfcm98g557z20.png,"an extreme close-up of [[dfc640f84d554263bc7849d46e7344a6]] face filling the entire frame, every pore and eyelash visible, sharp focus on the iris of their left eye, the bridge of their nose and lips slightly out of focus, studio lighting"
27,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8cbn3q1sn8bm4dq3kkxyy.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] leaning with their back flat against a red brick wall, one foot propped up behind them, arms folded, head turned to look at something down the street where a yellow taxi and some pedestrians are visible"
28,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8d0b19nz6f2zvxmdaqhfe.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] seated in a deep leather armchair in a dimly lit study, legs crossed, one elbow on the armrest with chin resting on hand, shelves of old leather-bound books and a green desk lamp behind them"
29,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8czmj2p9sqhd3f916v6qh.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] with head tilted about 15 degrees to the left, a slight curious expression, standing in a greenhouse surrounded by hanging ferns and tropical plants, soft green-filtered light coming through the glass roof"
30,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8dnrh3mcebr5qzwjgnerb.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] gazing out over a lake from a wooden dock, shot from behind at a slight angle so their face is visible in quarter profile, mountains and pine trees reflected in the still water, early morning mist rising"
31,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8dzy2z8w9gfxg3yh8hhs1.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] resting their chin on both hands with elbows on a table, a pensive thoughtful look, sitting in a window seat of a train with blurred countryside racing past outside the glass"
32,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8ek7tqb48xfe999sp4ds4.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] turning around from a doorway to face the camera, one hand on the door handle, body facing away but face turned fully toward the lens, a long bright hallway with polished floors stretching behind them"
33,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8e77vaaagpnhbvqtdpn6m.png,"a full body shot of [[dfc640f84d554263bc7849d46e7344a6]] walking confidently down a wide city sidewalk, briefcase in one hand, other arm swinging naturally, tall glass office buildings on both sides, other pedestrians and a food cart in the background"
34,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8fembtd6egbvex7xszxn7.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] crouching down to pet a golden retriever on a gravel path in a public park, trees and a park bench visible, another dog walker passing in the background, natural afternoon light"
35,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8eynbqa3arq7a30td6nfe.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing with both arms stretched wide at the edge of a cliff overlooking a vast green valley, wind blowing their hair and jacket, dramatic clouds in the sky, shot from behind and slightly to the side"
36,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8fv6ten0y1r2v3tp2q7vp.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on a hot sidewalk at noon with harsh direct overhead sunlight casting strong shadows under the nose and chin, squinting slightly, a dry concrete plaza with metal benches and a single tree behind them"
37,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8fwvxt7se5rmnyjvj60a7.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] walking through a wheat field during golden hour, warm amber light wrapping around their face and shoulders, long shadows stretching across the golden stalks, a treeline and orange sky on the horizon"
38,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8gaxmnzm8db7h3bb892ar.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in front of a large bright window, mostly silhouetted with light outlining their hair and shoulders, face partially visible in the shadow, a cluttered artist studio with easels and paint tubes inside the room"
39,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8g8fgs5tfecpddafmhzpw.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on a rainy city street at night with pink and blue neon signs from shops and restaurants reflected on the wet asphalt, wearing a dark raincoat, face lit by the colorful neon glow, other people with umbrellas passing"
40,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8gk69xc8j0an8yeveahjq.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] lit from one side by a single harsh light source, half of their face brightly illuminated and the other half in deep shadow, standing in a dark empty theater with rows of red velvet seats barely visible behind them"
41,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8h43trgveavv4g3ggd56q.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] sitting at a desk in a generic office under flat harsh fluorescent ceiling lights, a computer monitor glowing on the desk, stacks of paper and a stapler nearby, no shadows, slightly washed out unflattering light"
42,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8jb476mzd5nrbrp0v74v1.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] sitting at a small round table in a dark room lit only by three tall candles, the warm orange flame light dancing across their face, a wine glass and an open book on the table, deep shadows everywhere"
43,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8jba1g5wpt5sxxnhekqzt.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in a field on a gray overcast day with completely flat diffused light and no visible shadows, a fence and some cows in the distant background, wearing a waterproof jacket, damp grass underfoot"
44,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8hr4ntqb4qqrsq3pxzzmh.png,"a studio photo of [[dfc640f84d554263bc7849d46e7344a6]] with a bright rim light behind them creating a glowing outline around their head and shoulders, the front of their face lit by a soft fill light, a dark charcoal gray seamless background"
45,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8keqx2knd7hvhcsey72wh.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing under a large oak tree with sunlight filtering through the leaves creating patches of bright light and shadow across their face and body, a grassy meadow with wildflowers stretching behind them"
46,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8je69taqjq2fxpm2wesa2.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing at a busy crosswalk in downtown Tokyo, crowds of people with shopping bags crossing in every direction, bright billboards and signs in Japanese covering the buildings, shot from across the street"
47,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8kefeprar6ca3vnnd650q.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on a wide sandy beach at low tide, gentle waves breaking in the distance, a few seagulls on the sand, a wooden lifeguard tower to the left, flip flops in one hand, pants rolled up to the calves"
48,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8kjddhhwhptb30601njvv.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on a forest trail surrounded by tall moss-covered pine trees, ferns growing along the path edges, a fallen log across the trail in the background, soft misty light filtering through the canopy"
49,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8kpdpsk36j6q3qkvvaqtz.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in an open-plan tech office with rows of standing desks, dual monitors, and employees working in the background, a whiteboard covered in sticky notes and diagrams on the wall, bright overhead lighting"
50,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8n16e0nvxjhymkwh7vemg.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] sitting at a small marble table in a busy European cafe, an espresso and a glass of water on the table, other customers chatting at nearby tables, a waiter carrying a tray, chalkboard menu on the wall"
51,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8nrmmes7075r4tea50jpx.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on the rooftop of a tall building at dusk, the city skyline stretching behind them with lit office windows and a few red aircraft warning lights, wind blowing their hair, a concrete ledge and metal railing visible"
52,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8n9d6kmh47r1y8efmx7g7.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] browsing bookshelves in a large old library with tall wooden shelves stretching to the ceiling, rolling ladders on brass rails, warm reading lamps on heavy oak tables where a few students are studying"
53,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8mzc2at5ev8dh0vyytyq1.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] kneeling in a lush garden tending to tomato plants, a watering can and gardening gloves on the ground beside them, a wooden fence with climbing roses behind, a wheelbarrow visible in the corner"
54,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8p5h2zz5hb8v71frtr007.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on a subway platform as a train arrives with its headlights on, tiled walls with mosaic artwork, a few other commuters waiting with bags and headphones, fluorescent strip lights overhead"
55,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8mxvz72pzjfyc45xtbkmw.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing on a rocky mountain trail at high altitude, a panoramic view of snow-capped peaks and a glacier lake below, wearing hiking boots and a backpack, trekking poles in hand, clear blue sky"
56,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8q2yw466ycybtqep8e3jw.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] seated at a restaurant table set for dinner, white tablecloth, wine glasses, folded napkins, a small candle centerpiece, other diners at adjacent tables, a waiter in the background carrying plates"
57,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8px184r5xgvccbmhb2p1g.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in a dim concrete parking garage next to a dark car, harsh overhead fluorescent tubes casting greenish light, painted lane markings on the floor, exit signs glowing red in the distance"
58,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8pmwg9cfgv4mfnmmc12vq.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] walking down a rainy street holding a transparent umbrella, puddles reflecting streetlights on the asphalt, a row of closed shop fronts with metal shutters, another person with a red umbrella ahead of them"
59,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8qgfx4ydqhxhk7z7dxz96.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in a large white photography studio with a seamless paper backdrop, professional lighting stands and softboxes visible at the edges of frame, wearing all black, arms at sides"
60,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8qh8ta63sx72xbwxc039b.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in front of a massive colorful street mural covering an entire building wall, geometric shapes and faces in bright blues oranges and pinks, a chain-link fence and some trash bins at the base"
61,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8r0r4antjnzq7jpmjx8bv.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wearing a chunky knit beanie hat pulled down low, standing at an outdoor Christmas market with wooden stalls selling ornaments and mulled wine, fairy lights strung overhead, other shoppers browsing"
62,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8rtg4vfag8wb05y49ezn5.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] with a thick wool scarf wrapped high around their neck and chin, standing at a bus stop on a cold gray morning, frosted glass shelter behind them, a red double-decker bus approaching in the distance"
63,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8rax48cjyrh5jpfdqxa1a.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wearing large over-ear headphones around their neck, leaning against a record store counter, vinyl records in crates and band posters on the walls behind them, warm interior lighting"
64,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8s703rba7hx900ebqrzr8.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] in a sharp tailored charcoal suit with a white shirt and dark tie, standing in the marble lobby of a corporate building, a security desk and revolving glass doors behind them, polished floors reflecting the lights"
65,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8saa805dhs436rcmqn78r.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wearing an oversized hoodie with the hood pulled up, sitting on concrete steps outside a skate park, a skateboard beside them, graffiti on the ramps in the background, late afternoon shadows"
66,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8st3y5f9hhwvvywy4wmzw.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wearing a worn brown leather jacket with a white t-shirt underneath, leaning on a motorcycle parked on the side of a desert highway, flat empty landscape and power lines stretching to the horizon"
67,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8t5p24rqwdzynw71fawn8.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wearing a backwards baseball cap, standing in the dugout of a baseball field holding a bat over one shoulder, the diamond and outfield grass visible through the chain-link fence, bright sunny day"
68,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8tv7zw2000c9svpy93s5w.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] in athletic running gear with a race bib pinned to their chest, standing at the starting line of a road race, other runners stretching and warming up behind them, an inflatable start arch overhead"
69,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8w4a659zgzssjtd2nysa7.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wrapped in a large cozy blanket on a sofa, holding a steaming mug with both hands, a crackling fireplace in the background, a sleeping cat curled up on the other end of the sofa, warm dim lighting"
70,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8tpg8cw7jkja9zqpfdz4r.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] wearing round wire-frame reading glasses, sitting at a cluttered desk examining a document, stacks of papers and file folders surrounding them, a desk lamp casting a warm cone of light"
71,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8vha74fty13tcy2jdb44q.png,"a portrait of [[dfc640f84d554263bc7849d46e7344a6]] shot on an 85mm f1.4 lens with extremely shallow depth of field, face in razor-sharp focus while the background of a busy autumn park with people and orange trees dissolves into smooth round bokeh"
72,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8vk5eve6f8cj21xvp182f.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] shot on a 24mm wide angle lens in a small apartment kitchen, slight barrel distortion stretching the edges, the full room visible including a fridge covered in magnets, a small dining table, and a window above the sink"
73,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8wmnjeawbde45kakyh4g6.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] shot on Kodak Portra 400 film with visible grain and slightly muted warm tones, standing in front of a vintage gas station with old pumps and a faded sign, a dusty pickup truck parked beside them"
74,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8wtdms902arakw9gsgcdg.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] taken with an extreme fisheye lens creating a circular distorted image, standing in the middle of an empty basketball court, the hoop and backboard curving dramatically overhead, the entire court visible in the warped frame"
75,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8wvrt10kdypyggz6c7pys.png,"a polaroid photo of [[dfc640f84d554263bc7849d46e7344a6]] with the characteristic white border and slightly washed-out faded colors, standing at a house party with red cups and streamers visible, slight light leak in the corner, casual and spontaneous"
76,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8x6r52qxb11ytaahrqh0y.png,"a high-contrast black and white photo of [[dfc640f84d554263bc7849d46e7344a6]] standing in a doorway, dramatic shadows and bright highlights, deep blacks and pure whites with minimal midtones, a staircase with an iron railing visible inside"
77,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8y0yz5d5rv93pg5w6p2wr.png,"a photo of [[dfc640f84d554263bc7849d46e7344a6]] shot on a medium format Hasselblad with that distinctive medium format look, extremely fine detail and smooth tonal gradations, shallow focus, standing in a field of lavender stretching to the horizon"
78,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8yd59904jh12q2bwdm04t.png,"a deliberately slightly overexposed photo of [[dfc640f84d554263bc7849d46e7344a6]] with blown-out highlights around the hair and shoulders, standing in a bright airy loft space with white walls and large skylights, giving a dreamy ethereal look"
79,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8yr4tf0vrf4sezkcgw2x9.png,"a panning shot of [[dfc640f84d554263bc7849d46e7344a6]] jogging through a park, their face and body relatively sharp while the trees and path behind them are horizontally motion-blurred, suggesting speed and movement, athletic clothing"
80,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8yn5cfejqt2d1qj29bm0r.png,"an extreme macro close-up of half of [[dfc640f84d554263bc7849d46e7344a6]] face, just one eye and part of the nose and cheek filling the frame, every skin texture and eyelash visible in sharp detail, the iris reflecting a small window, studio lighting"
81,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8ywqa0zjqmy6bv35g7m7w.png,"a cinematic widescreen still of [[dfc640f84d554263bc7849d46e7344a6]] sitting alone in a near-empty diner at night, a neon OPEN sign in the window, a counter with red vinyl stools, a waitress pouring coffee in the background, moody blue and orange color grading"
82,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt8zn26rga7p1rc9zhg44k9.png,"a high-fashion editorial photo of [[dfc640f84d554263bc7849d46e7344a6]] in a stark white room, dramatic pose with one hand in hair, wearing an avant-garde geometric black outfit, harsh directional lighting creating angular shadows on the wall"
83,completed,https://cloud.inference.sh/app/files/u/4mg21r6ta37mpaz6ktzwtt8krr/01kmt90hj9k582wpkab7ffd9qy.png,"a corporate LinkedIn-style headshot of [[dfc640f84d554263bc7849d46e7344a6]] in business casual, warm approachable smile, shot from shoulders up against a softly blurred modern office background with glass partitions and green plants"
